activity_id,activity_name,designation,fullName,name,parkCode,states,url
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Monument,Pipe Spring National Monument,Pipe Spring,pisp,AZ,https://www.nps.gov/pisp/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,Park,Prince William Forest Park,Prince William Forest,prwi,VA,https://www.nps.gov/prwi/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Battlefield Park,River Raisin National Battlefield Park,River Raisin,rira,MI,https://www.nps.gov/rira/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Rocky Mountain National Park,Rocky Mountain,romo,CO,https://www.nps.gov/romo/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Scenic Riverway,Saint Croix National Scenic Riverway,Saint Croix,sacn,"WI,MN",https://www.nps.gov/sacn/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historical Park,San Francisco Maritime National Historical Park,San Francisco Maritime,safr,CA,https://www.nps.gov/safr/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historical Park,Saint-Gaudens National Historical Park,Saint-Gaudens,saga,NH,https://www.nps.gov/saga/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Site,Sagamore Hill National Historic Site,Sagamore Hill,sahi,NY,https://www.nps.gov/sahi/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Site,Saint Paul's Church National Historic Site,Saint Paul's Church,sapa,NY,https://www.nps.gov/sapa/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Parks,Sequoia & Kings Canyon National Parks,Sequoia & Kings Canyon,seki,CA,https://www.nps.gov/seki/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Trail,Selma To Montgomery National Historic Trail,Selma To Montgomery,semo,AL,https://www.nps.gov/semo/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Shenandoah National Park,Shenandoah,shen,VA,https://www.nps.gov/shen/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historical Park,Sitka National Historical Park,Sitka,sitk,AK,https://www.nps.gov/sitk/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Site,Steamtown National Historic Site,Steamtown,stea,PA,https://www.nps.gov/stea/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Battlefield,Stones River National Battlefield,Stones River,stri,TN,https://www.nps.gov/stri/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Preserve,Tallgrass Prairie National Preserve,Tallgrass Prairie,tapr,KS,https://www.nps.gov/tapr/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Site,Theodore Roosevelt Inaugural National Historic Site,Theodore Roosevelt Inaugural,thri,NY,https://www.nps.gov/thri/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Site,Vanderbilt Mansion National Historic Site,Vanderbilt Mansion,vama,NY,https://www.nps.gov/vama/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historic Site,Washita Battlefield National Historic Site,Washita Battlefield,waba,OK,https://www.nps.gov/waba/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Monument,Waco Mammoth National Monument,Waco Mammoth,waco,TX,https://www.nps.gov/waco/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Historical Park,Weir Farm National Historical Park,Weir Farm,wefa,CT,https://www.nps.gov/wefa/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Monument,Wupatki National Monument,Wupatki,wupa,AZ,https://www.nps.gov/wupa/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Yellowstone National Park,Yellowstone,yell,"ID,MT,WY",https://www.nps.gov/yell/index.htm
42FD78B9-2B90-4AA9-BC43-F10E9FEA8B5A,Hands-On,National Park,Yosemite National Park,Yosemite,yose,CA,https://www.nps.gov/yose/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Acadia National Park,Acadia,acad,ME,https://www.nps.gov/acad/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Agate Fossil Beds National Monument,Agate Fossil Beds,agfo,NE,https://www.nps.gov/agfo/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Trail,Ala Kahakai National Historic Trail,Ala Kahakai,alka,HI,https://www.nps.gov/alka/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Site,Allegheny Portage Railroad National Historic Site,Allegheny Portage Railroad,alpo,PA,https://www.nps.gov/alpo/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Recreation Area,Amistad National Recreation Area,Amistad,amis,TX,https://www.nps.gov/amis/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument & Preserve,Aniakchak National Monument & Preserve,Aniakchak,ania,AK,https://www.nps.gov/ania/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Battlefield,Antietam National Battlefield,Antietam,anti,MD,https://www.nps.gov/anti/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historical Park,Appomattox Court House National Historical Park,Appomattox Court House,apco,VA,https://www.nps.gov/apco/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Lakeshore,Apostle Islands National Lakeshore,Apostle Islands,apis,WI,https://www.nps.gov/apis/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Scenic Trail,Appalachian National Scenic Trail,Appalachian,appa,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",https://www.nps.gov/appa/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Arches National Park,Arches,arch,UT,https://www.nps.gov/arch/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Memorial,Arkansas Post National Memorial,Arkansas Post,arpo,AR,https://www.nps.gov/arpo/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Seashore,Assateague Island National Seashore,Assateague Island,asis,"MD,VA",https://www.nps.gov/asis/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Aztec Ruins National Monument,Aztec Ruins,azru,NM,https://www.nps.gov/azru/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Badlands National Park,Badlands,badl,SD,https://www.nps.gov/badl/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Monument,Bandelier National Monument,Bandelier,band,NM,https://www.nps.gov/band/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Preserve,Bering Land Bridge National Preserve,Bering Land Bridge,bela,AK,https://www.nps.gov/bela/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Historic Site,Bent's Old Fort National Historic Site,Bent's Old Fort,beol,CO,https://www.nps.gov/beol/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Big Bend National Park,Big Bend,bibe,TX,https://www.nps.gov/bibe/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Recreation Area,Bighorn Canyon National Recreation Area,Bighorn Canyon,bica,"MT,WY",https://www.nps.gov/bica/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Preserve,Big Cypress National Preserve,Big Cypress,bicy,FL,https://www.nps.gov/bicy/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Battlefield,Big Hole National Battlefield,Big Hole,biho,MT,https://www.nps.gov/biho/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National River & Recreation Area,Big South Fork National River & Recreation Area,Big South Fork,biso,"KY,TN",https://www.nps.gov/biso/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Preserve,Big Thicket National Preserve,Big Thicket,bith,TX,https://www.nps.gov/bith/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Park,Black Canyon Of The Gunnison National Park,Black Canyon Of The Gunnison,blca,CO,https://www.nps.gov/blca/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,Parkway,Blue Ridge Parkway,Blue Ridge,blri,"NC,VA",https://www.nps.gov/blri/index.htm
BFF8C027-7C8F-480B-A5F8-CD8CE490BFBA,Hiking,National Scenic River,Bluestone National Scenic River,Bluestone,blue,WV,https://www.nps.gov/blue/index.htm
